industry,company,city,state,country,lat,lng,mat_paid,mat_unpaid,pat_paid,pat_unpaid,rating,treatedFairly,wouldRecommend,match401k,childcare,flextime,healthcare,vacationAllowance,balance,culture,flexibility,hours,policies
Healthcare,Adventist Health System,Altamonte Springs,Florida,USA,28.6611089,-81.3656242,4,-5,-5,-5,3,20,60,null,null,null,null,2,40,40,3,3,0
Electronics,Samsung Group,Seoul,South Korea,USA,37.5731453,126.9778493,-5,-5,1,-5,3,29,57,null,FALSE,null,#VALUE!,3 ,43,14,3,4,29
Retail,"Best Buy Co., Inc.",Tulsa,Oklahoma,USA,36.1539816,-95.992775,5,7,-5,-5,3,54,46,null,null,null,null,,43,43,4,3,43
Pharmaceutical,Parexel,Waltham,Massachusetts,USA,42.3764852,-71.2356113,3,-5,-5,-5,3,50,50,TRUE,null,TRUE,TRUE,3,50,50,2,3,0
Transportation,C. H. Robinson,Orange,California,USA,33.7879139,-117.8531007,6,-5,-5,-5,3,0,33,TRUE,null,null,FALSE,1,50,50,3,2,0
Legal Services,Clifford Chance LLP,New York,New York,USA,40.7127753,-74.0059728,18,-5,-5,-5,3,100,100,TRUE,null,null,FALSE,4,50,50,4,3,50
Transportation,Huntington Ingalls,Newport News,Virginia,USA,37.0870821,-76.4730122,-5,12,-5,-5,3,50,50,TRUE,null,null,null,3,50,50,,null,50
Retail,Abercrombie & Fitch,New Albany,Ohio,USA,40.0811745,-82.8087864,6,6,-5,-5,3,100,67,null,null,null,null,,50,50,4,3,0
Natural Resources,Exxon Mobil,Irving,Texas,USA,32.8140177,-96.9488945,6,22,-5,-5,3,33,52,null,null,null,null,,50,33,3,3,25
Financial Services,Fifth Third Bank,Cincinnati,Ohio,USA,39.1031182,-84.5120196,9,1,-5,-5,3,56,67,null,null,null,null,,50,100,4,3,50
Media,DISH Network Corporation,Englewood,Colorado,USA,39.6477653,-104.9877597,0,6,4,4,3,29,29,null,null,null,null,,50,0,2,3,0
Technology,Wipro,Bengaluru,,India,12.9715987,77.5945627,8,-5,-5,-5,3,60,40,null,null,TRUE,null,16,50,50,4,4,0
Natural Resources,Chesapeake Energy Corporation,Oklahoma City,Oklahoma,USA,35.4675602,-97.5164276,10,2,-5,-5,3,0,100,null,null,null,null,,50,50,3,3,50
Technology,Nuance Communications,Burlington,Massachusetts,USA,42.5047161,-71.1956205,12,-5,-5,-5,3,50,50,null,null,null,null,5 ,50,0,3,4,50
Natural Resources,Air Liquide,Paris,,France,48.856614,2.3522219,0,12,-5,-5,3,0,100,TRUE,null,TRUE,TRUE,,100,0,3,3,0
Advertising and Creative Services,Paperless Post,New York,New York,USA,40.7127753,-74.0059728,8,12,-5,-5,3,0,100,TRUE,TRUE,TRUE,TRUE,,100,0,2,4,0
Lifestyle,Regis Corp,Minneapolis,Minnesota,USA,44.977753,-93.2650108,8,12,-5,-5,3,0,100,FALSE,null,null,FALSE,,100,0,2,3,0
Colleges & Universities,A.T. Still University,Kirksville,Missouri,USA,40.1947539,-92.5832496,0,12,-5,-5,3,100,100,null,null,TRUE,null,,100,0,3,3,0
Legal Services,Allen & Overy,Washington,DC,USA,38.9071923,-77.0368707,18,-5,-5,-5,3,100,100,null,null,null,null,4,100,100,1,3,0
Industrial,Hensel Phelps,Greely,Colorado,USA,40.4233142,-104.7091322,12,12,-5,-5,3,50,50,null,null,null,TRUE,,100,0,1,3,0
Natural Resources,Airgas Inc,Radnor,Pennsylvania,USA,40.043912,-75.3754599,0,12,-5,-5,3,100,100,null,null,null,null,,100,100,4,3,0
Technology,Atos,San Diego,California,USA,32.715738,-117.1610838,-5,12,-5,-5,3,100,100,null,null,null,null,3,100,0,2,4,100
Financial Services,BNP Paribas,Paris,,France,48.856614,2.3522219,12,-5,-5,-5,3,50,50,null,null,null,null,5,100,0,2,3,100
Legal Services,Crowell & Moring,Washington,DC,USA,38.9071923,-77.0368707,18,-5,-5,-5,3,0,50,null,null,null,null,52,,100,4,,100
Healthcare,The Jackson Laboratory,Bar Harbor,Maine,USA,44.3876119,-68.2039123,5,12,0,12,3,50,50,null,null,TRUE,null,,,,3,100,
Lifestyle,Revlon,New York,New York,USA,40.7127753,-74.0059728,6,6,1,-5,3,80,60,null,null,null,TRUE,,100,,3,,100
Retail,Patagonia,Ventura,California,USA,34.274646,-119.2290316,16,-5,12,-5,3,0,100,TRUE,TRUE,TRUE,TRUE,,,,2,3,
Business Services,Korn Ferry,Los Angeles,California,USA,34.0522342,-118.2436849,16,-5,-5,-5,3,100,100,TRUE,null,null,FALSE,16,,,2,3,
Advertising and Creative Services,TBWA\CHIAT\DAY,Los Angeles,California,USA,34.0522342,-118.2436849,1,12,1,-5,3,0,100,null,null,null,TRUE,,,,2,3,
Retail,PVH Corp.,New York,New York,USA,40.7127753,-74.0059728,6,0,6,-5,3,0,100,null,FALSE,null,#VALUE!,3,,,3,3,
Retail,Save-A-Lot,Earth City,Missouri,USA,38.7699175,-90.4667501,8,-5,-5,-5,3,0,100,null,null,FALSE,null,2,,,5,3,
Technology,Red Hat,Raleigh,North Carolina,USA,35.7795897,-78.6381787,8,12,5,6,3,20,20,null,null,null,null,3 ,0,50,4,4,25
Consumer Goods,"Tyson Foods, Inc.",Springdale,Arkansas,USA,36.1867442,-94.1288141,6,12,0,-5,3,56,22,TRUE,null,TRUE,TRUE,,20,40,3,4,0
Healthcare,Barnabas Health,New York,New York,USA,40.7127753,-74.0059728,-5,12,-5,-5,3,100,100,null,null,null,null,4,24,24,,null,24
Insurance,Travelers,New York,New York,USA,40.7127753,-74.0059728,6,-5,1,-5,3,40,40,TRUE,null,null,FALSE,,25,25,3,3,25
Government,DSHS,Spokane,Washington,USA,47.6587802,-117.4260465,0,12,-5,-5,3,0,100,null,null,null,FALSE,,26,26,,null,26
Technology,PC Connection,Merrimack,New Hampshire,USA,42.8678693,-71.4948322,5,1,-5,-5,3,0,100,null,null,null,null,,,,2,4,
Technology,New Relic,San Francisco,California,USA,37.7749295,-122.4194155,4,-5,4,-5,3,40,60,TRUE,TRUE,TRUE,TRUE,3 ,15,15,,null,15
Media,U.S. News & World Report,Washington,DC,USA,38.9071923,-77.0368707,8,-5,-5,-5,3,0,100,TRUE,null,TRUE,TRUE,3,22,22,,null,22
Consulting Services,84.51°,Cincinnati,Ohio,USA,39.1031182,-84.5120196,12,-5,-5,-5,3,0,100,null,null,TRUE,null,5 ,0,50,4,4,100
Colleges & Universities,Winston Salem State University,Winston-Salem,North Carolina,USA,36.0998596,-80.244216,-5,12,-5,-5,3,0,100,null,null,null,FALSE,3,20,20,,null,20
Healthcare,Medline Industries,Northfield,Illinois,USA,42.09975,-87.7808967,6,6,0,-5,3,0,100,null,FALSE,null,#VALUE!,2,24,24,,null,24
Nonprofit,Evangelical Lutheran Good Samaritan Soci...,Sioux Falls,South Dakota,USA,43.5445959,-96.7311034,8,-5,-5,-5,3,100,100,null,null,TRUE,null,8,25,25,,null,25
Advertising and Creative Services,Havas,New York,New York,USA,40.7127753,-74.0059728,6,5,-5,-5,3,60,40,null,null,null,null,,25,75,2,3,25
Government,Texas Commission on Environmental Qualit...,Austin,Texas,USA,30.267153,-97.7430608,0,12,-5,-5,3,100,100,null,null,null,null,,26,26,,null,26
Retail,Claire's,Hoffman Estates,Illinois,USA,42.0629915,-88.1227199,6,6,-5,-5,3,100,100,null,null,null,null,,27,27,,null,27
Retail,Fry's Food & Drug Stores,Tolleson,Arizona,USA,33.4500425,-112.259321,6,6,-5,-5,3,0,100,null,null,TRUE,TRUE,,27,27,,null,27
Retail,The Kroger Company,Cincinnati,Ohio,USA,39.1031182,-84.5120196,10,6,2,6,3.1,56,56,TRUE,null,TRUE,TRUE,1 ,0,67,3,3,0
Insurance,Aetna Inc.,Hartford,Connecticut,USA,41.7637111,-72.6850932,6,13,-5,-5,3.1,71,47,TRUE,null,TRUE,TRUE,,0,83,3,3,17
Legal Services,Morgan Lewis & Bockius LLP,Philadelphia,Pennsylvania,USA,39.9525839,-75.1652215,16,-5,-5,-5,3.1,62,46,null,null,null,null,4,0,0,3,3,50
"Defense, Air, & Space",Lockheed Martin Corporation,Bethedsa,Virginia,USA,38.984652,-77.0947092,6,6,1,-5,3.1,42,47,null,FALSE,null,null,3 ,0,62,4,3,54
Technology,Oracle Corporation,Redwood City,California,USA,37.4852152,-122.2363548,12,12,-5,-5,3.1,40,45,null,null,null,null,2.,4,40,3,4,20
Other,Siemens,Munich,,Germany,48.1351253,11.5819805,3,6,-5,-5,3.1,36,43,null,null,null,null,,8,42,4,4,33
Retail,"Macy's, Inc.",Cincinnati,Ohio,USA,39.1031182,-84.5120196,6,6,0,-5,3.1,67,60,null,FALSE,null,null,,10,40,3,3,30
Technology,Indeed,Austin,Texas,USA,30.267153,-97.7430608,16,-5,6,-5,3.1,55,45,null,null,null,null,52,10,80,4,4,70
Technology,Groupon,Chicago,Illinois,USA,41.8781136,-87.6297982,16,-5,-5,-5,3.1,50,38,null,null,null,null,52,25,25,5,4,25
Retail,Target Corporation,Minneapolis,Minnesota,USA,44.977753,-93.2650108,8,6,2,-5,3.1,70,50,null,FALSE,null,#VALUE!,3,27,51,3,3,27
Insurance,State Farm,Bloomington,Illinois,USA,40.4842027,-88.9936873,6,6,-5,-5,3.1,75,44,null,null,null,null,,31,38,2,3,25
Technology,Amazon,Seattle,Washington,USA,47.6062095,-122.3320708,14,0,6,-5,3.1,40,34,null,FALSE,null,#VALUE!,3,32,26,3,4,59
Government,United States Postal Service,Washington,DC,USA,38.9071923,-77.0368707,-5,12,-5,12,3.1,67,56,null,null,null,null,,33,0,2,3,33
Legal Services,"Quinn Emanuel Urquhart & Sullivan, LLP",Los Angeles,California,USA,34.0522342,-118.2436849,16,-5,-5,-5,3.1,63,50,FALSE,null,null,FALSE,3,34,34,,null,34
Business Services,Robert Half International,Menlo Park,California,USA,37.4529598,-122.1817252,3,9,-5,-5,3.1,67,47,null,null,null,null,,38,38,2,3,0
Colleges & Universities,University of California San Diego,San Diego,California,USA,32.715738,-117.1610838,6,-5,-5,-5,3.1,29,43,TRUE,null,TRUE,TRUE,3,40,60,3,3,60
"Defense, Air, & Space",Boeing,Chicago,Illinois,USA,41.8781136,-87.6297982,3,10,1,6,3.1,29,38,TRUE,null,null,null,2 ,44,50,3,3,19
Technology,First Data Corporation,Atlanta,Georgia,USA,33.7489954,-84.3879824,12,12,2,-5,3.1,67,44,null,FALSE,null,#VALUE!,2,50,33,3,4,50
Retail,Under Armour,Baltimore,Maryland,USA,39.2903848,-76.6121893,2,10,2,10,3.1,14,29,null,null,null,null,2,67,33,3,3,0
Technology,Cognizant Technology Solutions Corporati...,Teaneck,New Jersey,USA,40.8932469,-74.0116536,7,-5,0,-5,3.1,44,40,TRUE,null,TRUE,TRUE,2,14,50,4,4,43
Lifestyle,L’Oréal,Clichy,,France,48.904526,2.304768,14,10,2,-5,3.1,50,30,TRUE,null,null,null,3,25,25,4,3,50
Insurance,New York Life Insurance Company,New York,New York,USA,40.7127753,-74.0059728,10,8,4,-5,3.2,45,55,TRUE,null,null,TRUE,2,0,67,3,3,67
Colleges & Universities,Purdue University,West Lafayette,Indiana,USA,40.4258686,-86.9080655,6,-5,6,-5,3.2,50,50,null,null,null,null,,0,33,5,3,33
Healthcare,"HCA Healthcare, Inc.",Nashville,Tennessee,USA,36.1626638,-86.7816016,-5,18,0,-5,3.2,60,60,null,FALSE,null,#VALUE!,2 ,0,100,4,3,0
Technology,Monster,Weston,Massachusetts,USA,42.3667625,-71.3031132,8,4,-5,-5,3.2,62,62,null,null,null,null,,0,67,4,4,0
Insurance,"Prudential Financial, Inc.",Newark,New Jersey,USA,40.735657,-74.1723667,8,19,4,-5,3.2,82,55,TRUE,null,null,TRUE,4,0,75,3,3,13
Technology,PayPal,San Jose,California,USA,37.3382082,-121.8863286,16,0,8,-5,3.2,45,55,TRUE,null,null,null,,10,50,5,4,70
Technology,Raytheon Company,Waltham,Massachusetts,USA,42.3764852,-71.2356113,5,7,-5,-5,3.2,35,41,null,null,null,null,,14,29,3,4,43
Government,World Bank Group,Washington,DC,USA,38.9071923,-77.0368707,14,-5,2,-5,3.2,17,50,null,null,null,null,5,20,20,3,3,40
Financial Services,Bank of America Corporation,Charlotte,North Carolina,USA,35.2270869,-80.8431267,16,14,16,26,3.2,46,40,TRUE,null,null,TRUE,2,21,35,3,3,30
Technology,Hewlett Packard Enterprise,Palo Alto,California,USA,37.4418834,-122.1430195,6,0,0,-5,3.2,58,58,TRUE,null,TRUE,TRUE,3,22,70,3,4,35
Telecommunications,Qualcomm Incorporated,San Diego,California,USA,32.715738,-117.1610838,3,6,-5,-5,3.2,29,41,null,null,null,null,,23,23,,null,23
Legal Services,Jones Day,Cleveland,Ohio,USA,41.49932,-81.6943605,18,9,-5,-5,3.2,78,56,null,null,null,null,,32,32,,null,32
Transportation,Expeditors International,Seattle,Washington,USA,47.6062095,-122.3320708,6,9,-5,12,3.2,40,60,TRUE,null,FALSE,TRUE,,33,33,2,2,0
Industrial,Caterpillar Inc.,Peoria,Illinois,USA,40.6936488,-89.5889864,7,6,2,-5,3.2,25,43,null,FALSE,null,#VALUE!,3 ,33,19,3,3,24
Business Services,Aramark Holdings Corporation,Philadelphia,Pennsylvania,USA,39.9525839,-75.1652215,6,0,-5,-5,3.2,41,36,null,null,null,null,,40,20,3,3,40
Legal Services,Sidley Austin LLP,Chicago,Illinois,USA,41.8781136,-87.6297982,18,8,4,-5,3.2,78,56,null,FALSE,null,#VALUE!,,40,40,3,3,20
Government,United States Department of Defense,Arlington,Virginia,USA,38.8816208,-77.0909809,0,12,-5,-5,3.2,56,44,TRUE,null,null,TRUE,,43,43,3,3,43
Retail,"Whole Foods Market, Inc.",Austin,Texas,USA,30.267153,-97.7430608,0,14,-5,-5,3.2,55,45,null,null,null,null,2,44,44,3,3,0
Retail,Ralph Lauren,New York,New York,USA,40.7127753,-74.0059728,4,8,-5,-5,3.2,80,20,TRUE,null,TRUE,TRUE,,50,50,2,3,0
Financial Services,Freddie Mac,Washington,DC,USA,38.9071923,-77.0368707,7,12,3,-5,3.2,67,67,TRUE,null,TRUE,TRUE,2,50,100,3,3,50
Retail,Williams Sonoma,San Francisco,California,USA,37.7749295,-122.4194155,14,-5,-5,-5,3.2,60,60,null,null,null,null,2,100,50,2,3,0
Industrial,AECOM Technology Corporation,Los Angeles,California,USA,34.0522342,-118.2436849,8,-5,-5,-5,3.3,33,33,TRUE,null,TRUE,TRUE,2,0,50,2,3,0
Colleges & Universities,The George Washington University,Washington,DC,USA,38.9071923,-77.0368707,6,6,-5,-5,3.3,50,50,TRUE,null,TRUE,TRUE,,0,17,3,3,17
Colleges & Universities,Baylor University,Waco,Texas,USA,31.549333,-97.1466695,3,9,-5,-5,3.3,33,33,TRUE,null,null,TRUE,,0,0,3,3,50
Colleges & Universities,City University of New York,New York,New York,USA,40.7127753,-74.0059728,8,4,-5,-5,3.3,100,33,TRUE,null,null,FALSE,,0,100,3,3,0
Industrial,HNTB,Kansas City,Missouri,USA,39.0997265,-94.5785667,0,12,0,-5,3.3,67,67,TRUE,null,null,FALSE,3,0,67,4,3,0
Financial Services,Bain Capital,Boston,Massachusetts,USA,42.3600825,-71.0588801,12,-5,-5,-5,3.3,33,67,TRUE,null,null,FALSE,3,0,100,4,3,100
Educational Services,EverFi,Washington,DC,USA,38.9071923,-77.0368707,8,4,-5,-5,3.3,33,33,FALSE,null,TRUE,TRUE,,0,33,3,3,100
Consumer Goods,Lego,Billund,Denmark,USA,55.7408067,9.1525999,13,-5,2,-5,3.3,33,67,null,null,null,null,,0,33,5,4,33
Colleges & Universities,Duke University,Durham,North Carolina,USA,35.9940329,-78.898619,3,9,-5,-5,3.3,50,50,null,null,null,null,,0,67,4,3,0
Business Services,CGI Group,Montreal,Quebec,Canada,45.5016889,-73.567256,10,2,-5,-5,3.3,50,25,null,null,null,null,,0,50,4,3,25
Retail,ANN Inc.,New York,New York,USA,40.7127753,-74.0059728,6,6,-5,-5,3.3,100,75,null,null,null,null,,0,50,3,3,0
Information Services,Softchoice,Toronto,Ontario,Canada,43.653226,-79.3831843,6,-5,-5,-5,3.3,67,100,null,null,TRUE,null,6,0,100,4,4,67
Educational Services,Kaplan Test Prep,Fort Lauderdale,Florida,USA,26.1224386,-80.1373174,6,-5,-5,-5,3.3,75,50,null,null,FALSE,null,6,0,33,5,3,0
Media,Scripps Networks Interactive,Knoxville,Tennessee,USA,35.9606384,-83.9207392,8,5,-5,-5,3.3,67,50,null,null,TRUE,null,,0,20,3,3,40
Media,Gannett,McLean,Virginia,USA,38.9338676,-77.1772604,2,12,2,-5,3.3,57,43,null,FALSE,null,null,,0,67,4,3,33
Technology,Chegg,Santa Clara,California,USA,37.3541079,-121.9552356,16,-5,-5,-5,3.3,67,67,null,null,null,null,52,0,100,5,4,100
Business Services,Randstad,Amsterdam,,Netherlands,52.3702157,4.8951679,6,-5,-5,-5,3.3,75,50,null,null,TRUE,null,2,0,50,4,3,100
Industrial,Cummins Inc.,Columbus,Indiana,USA,39.2014404,-85.9213796,12,-5,-5,-5,3.3,56,67,null,null,null,null,3,0,100,5,3,50
Electronics,Flextronics,Singapore,,Singapore,1.352083,103.819836,-5,12,-5,-5,3.3,67,67,null,null,null,null,3,0,33,4,4,33
Advertising and Creative Services,AKQA,San Francisco,California,USA,37.7749295,-122.4194155,2,0,6,-5,3.3,29,29,null,FALSE,null,#VALUE!,2 ,0,0,2,3,25
Publishing & Printing,R.R. Donnelley & Sons Company,Chicago,Illinois,USA,41.8781136,-87.6297982,3,9,-5,-5,3.3,100,33,null,null,null,null,,0,0,3,3,0
Retail,Michaels,Irving,Texas,USA,32.8140177,-96.9488945,6,6,-5,-5,3.3,67,33,null,null,null,null,,0,100,4,3,0
Financial Services,HSBC,London,,United Kingdom,51.5073509,-0.1277583,12,-5,2,-5,3.3,50,75,null,TRUE,null,#VALUE!,3,0,43,4,3,43
Information Services,Morningstar,Chicago,Illinois,USA,41.8781136,-87.6297982,12,0,4,0,3.3,60,80,null,null,null,null,,0,88,5,4,50
Hospitality,Panera Bread,Sunset Hills,Missouri,USA,38.5389423,-90.407341,0,5,-5,-5,3.3,67,67,null,null,null,null,,0,33,3,3,0
Colleges & Universities,The University of Texas at Austin,Austin,Texas,USA,30.267153,-97.7430608,3,9,-5,-5,3.3,33,33,TRUE,null,null,null,2.,0,50,2,3,50
Consulting Services,Booz Allen Hamilton,McLean,Virginia,USA,38.9338676,-77.1772604,8,38,4,-5,3.3,48,50,TRUE,null,null,TRUE,3,5,38,4,4,19
Consumer Goods,The Coca-Cola Company,Atlanta,Georgia,USA,33.7489954,-84.3879824,6,12,6,-5,3.3,38,51,null,FALSE,null,null,,6,29,4,4,24
Colleges & Universities,Columbia University,New York,New York,USA,40.7127753,-74.0059728,6,6,-5,-5,3.3,69,69,null,null,null,null,,13,38,3,3,25
Financial Services,Barclays Bank PLC,London,,United Kingdom,51.5073509,-0.1277583,16,-5,6,-5,3.3,53,60,null,TRUE,null,#VALUE!,3,14,29,2,3,43
Pharmaceutical,Pfizer,New York,New York,USA,40.7127753,-74.0059728,6,24,-5,-5,3.3,54,50,null,null,null,null,,14,0,3,3,29
Technology,Mozilla,Mountain View,California,USA,37.3860517,-122.0838511,20,-5,12,-5,3.3,33,33,null,null,null,null,,15,15,,null,15
Technology,eBay Inc.,San Jose,California,USA,37.3382082,-121.8863286,24,6,12,-5,3.3,23,38,null,FALSE,null,null,,15,15,,null,15
Lifestyle,Warner Brothers,Burbank,California,USA,34.1808392,-118.3089661,12,4,6,-5,3.3,83,83,TRUE,null,null,TRUE,3 ,17,50,3,3,0
Media,Dow Jones,New York,New York,USA,40.7127753,-74.0059728,20,-5,7,-5,3.3,47,62,TRUE,null,null,TRUE,,17,59,3,3,49
Pharmaceutical,AbbVie Inc.,North Chicago,Illinois,USA,42.325578,-87.8411818,6,6,2,-5,3.3,67,83,TRUE,null,null,TRUE,3,17,33,4,3,50
Colleges & Universities,University of Minnesota,Minneapolis,Minnesota,USA,44.977753,-93.2650108,6,6,-5,-5,3.3,67,67,TRUE,null,TRUE,TRUE,,17,83,5,3,0
Colleges & Universities,Boston University,Boston,Massachusetts,USA,42.3600825,-71.0588801,0,8,0,0,3.3,50,67,TRUE,null,TRUE,TRUE,,20,100,4,3,40
Insurance,CUNA Mutual Group,Madison,Wisconsin,USA,43.0730517,-89.4012302,6,6,-5,-5,3.3,33,67,null,null,null,null,,20,80,5,3,20
Colleges & Universities,MIT,Cambridge,Massachusetts,USA,42.3736158,-71.1097335,8,8,1,1,3.3,25,25,null,TRUE,null,null,,20,20,,null,20
Pharmaceutical,Abbott Nutrition,Lake Bluff,Illinois,USA,42.2791365,-87.8443151,8,4,-5,-5,3.3,33,33,TRUE,null,TRUE,TRUE,,20,20,,null,20
Financial Services,Principal Financial Group,Des Moines,Iowa,USA,41.6005448,-93.6091064,2,-5,4,-5,3.3,0,25,TRUE,null,null,TRUE,4,21,21,,null,21
Financial Services,Duff & Phelps,New York,New York,USA,40.7127753,-74.0059728,10,1,-5,-5,3.3,67,67,null,null,null,null,,21,21,,null,21
Insurance,Blue Cross Blue Shield,Chicago,Illinois,USA,41.8781136,-87.6297982,6,6,12,-5,3.3,33,33,null,FALSE,null,null,,22,22,,null,22
Consulting Services,EY,London,,United Kingdom,51.5073509,-0.1277583,16,8,16,-5,3.3,62,58,TRUE,null,null,TRUE,3,24,45,4,4,57
Healthcare,Baxter International Inc.,Deerfield,Illinois,USA,42.1711365,-87.8445119,6,12,-5,-5,3.3,67,33,null,null,null,null,,24,24,,null,24
Healthcare,Tenet Healthcare Corporation,Dallas,Texas,USA,32.7766642,-96.7969879,0,12,-5,-5,3.3,100,67,null,null,null,null,,24,24,,null,24
Transportation,"American Airlines Group, Inc.",Fort Worth,Texas,USA,32.7554883,-97.3307658,10,6,-5,-5,3.3,71,43,TRUE,null,TRUE,TRUE,4,25,25,3,2,25
Financial Services,TD Bank,Cherry Hill,New Jersey,USA,39.926813,-75.0246312,16,6,16,-5,3.3,56,44,null,FALSE,null,#VALUE!,3 ,25,63,4,3,38
Retail,Banana Republic,San Francisco,California,USA,37.7749295,-122.4194155,0,12,-5,-5,3.3,75,75,null,null,null,null,,25,25,3,3,0
Telecommunications,AT&T,Dallas,Texas,USA,32.7766642,-96.7969879,8,4,2,-5,3.3,48,48,TRUE,null,null,null,2.,26,47,3,3,37
Telecommunications,Verizon Communications,New York,New York,USA,40.7127753,-74.0059728,4,8,2,-5,3.3,63,56,TRUE,null,null,TRUE,2.,27,36,3,3,64
Retail,"Publix Super Markets, Inc.",Lakeland,Florida,USA,28.0394654,-81.9498042,0,12,0,-5,3.3,50,75,null,TRUE,null,null,,27,27,,null,27
Retail,"OpticsPlanet, Inc.",Northbrook,Illinois,USA,42.1275267,-87.8289548,12,-5,-5,-5,3.3,33,33,null,null,TRUE,null,12,27,27,,null,27
Natural Resources,SCANA Corporation,Cayce,South Carolina,USA,33.9657091,-81.0739827,-5,12,-5,-5,3.3,0,33,null,null,TRUE,null,12,28,28,,null,28
Financial Services,JPMorgan Chase & Co,New York,New York,USA,40.7127753,-74.0059728,16,7,4,-5,3.3,57,60,TRUE,TRUE,TRUE,TRUE,3.,30,42,3,3,61
Legal Services,King & Spalding,Atlanta,Georgia,USA,33.7489954,-84.3879824,6,-5,-5,-5,3.3,67,33,null,null,null,null,3,32,32,,null,32
Legal Services,McAfee & Taft,Oklahoma City,Oklahoma,USA,35.4675602,-97.5164276,8,-5,-5,-5,3.3,0,33,TRUE,null,null,null,8,32,32,,null,32
Financial Services,Wells Fargo,San Francisco,California,USA,37.7749295,-122.4194155,16,12,4,-5,3.3,48,61,null,FALSE,null,#VALUE!,3.,32,36,3,3,32
Pharmaceutical,Takeda,Osaka,,Japan,34.6937378,135.5021651,7,6,2,-5,3.3,100,67,TRUE,null,TRUE,TRUE,2,33,33,4,3,33
Accounting Services,BDO International,Brussels,,Belgium,50.8503463,4.3517211,9,-5,2,-5,3.3,50,75,TRUE,null,null,TRUE,3,33,33,5,4,67
Technology,Refinery29,New York,New York,USA,40.7127753,-74.0059728,12,-5,-5,-5,3.3,100,67,FALSE,null,null,TRUE,3,33,33,4,4,67
Technology,Yahoo!,Sunnyvale,California,USA,37.36883,-122.0363496,16,0,8,-5,3.3,43,36,null,FALSE,null,null,,33,33,4,4,67
Retail,"Nordstrom, Inc.",Seattle,Washington,USA,47.6062095,-122.3320708,12,9,6,-5,3.3,60,48,null,FALSE,null,#VALUE!,2.,33,27,3,3,47
Insurance,Allstate Insurance Group,Northbrook,Illinois,USA,42.1275267,-87.8289548,6,6,-5,-5,3.3,83,67,null,null,null,null,,36,45,3,3,18
Business Services,Sodexo,Issy-les-Moulineaux,,France,48.8245306,2.2743419,0,12,-5,-5,3.3,47,47,null,null,null,null,,38,25,3,3,13
Media,Meredith Corporation,Des Moines,Iowa,USA,41.6005448,-93.6091064,4,5,1,11,3.3,71,29,null,null,null,null,,40,60,3,3,0
Consumer Goods,Anheuser-Busch InBev,Leuven,,Belgium,50.8798438,4.7005176,16,-5,-5,-5,3.3,56,33,TRUE,null,null,FALSE,2,44,33,3,4,56
Retail,"Coach, Inc.",New York,New York,USA,40.7127753,-74.0059728,12,-5,-5,-5,3.3,50,75,TRUE,null,null,TRUE,3,50,50,3,3,50
Industrial,Ball Corporation,Broomfield,Colorado,USA,39.9205411,-105.0866504,3,6,-5,-5,3.3,0,33,null,null,null,null,,50,0,1,3,0
Information Services,Gerson Lehrman,New York,New York,USA,40.7127753,-74.0059728,12,0,-5,-5,3.3,0,33,null,null,null,null,,50,0,4,4,0
Advertising and Creative Services,Interbrand,New York,New York,USA,40.7127753,-74.0059728,6,6,-5,-5,3.3,50,17,null,null,null,null,,50,25,2,3,0
Transportation,"Delta Air Lines, Inc.",Atlanta,Georgia,USA,33.7489954,-84.3879824,6,12,-5,-5,3.3,29,57,null,null,null,null,,50,50,2,2,0
Retail,Rite Aid Corporation,Camp Hill,Pennsylvania,USA,40.2398118,-76.9199742,6,12,-5,-5,3.3,68,74,null,null,null,null,,50,50,3,3,0
Industrial,Bechtel,San Francisco,California,USA,37.7749295,-122.4194155,6,6,-5,-5,3.3,33,33,null,null,null,null,,50,100,4,3,50
Transportation,Enterprise Holdings,St Louis,Missouri,USA,38.6270025,-90.1994042,10,2,2,-5,3.3,44,22,null,FALSE,null,null,,50,67,3,2,33
Government,New York City Department of Education,New York,New York,USA,40.7127753,-74.0059728,-5,12,-5,-5,3.3,50,75,FALSE,null,null,FALSE,5.,67,33,3,3,33
Automotive,"Johnson Controls, Inc.",Milwaukee,Wisconsin,USA,43.0389025,-87.9064736,0,12,0,-5,3.3,33,67,null,FALSE,null,null,,67,33,4,3,33
Industrial,Danaher Corporation,Washington,DC,USA,38.9071923,-77.0368707,6,16,-5,-5,3.3,33,67,TRUE,null,null,TRUE,,67,33,3,3,0
Technology,Epic Systems,Verona,Wisconsin,USA,42.990831,-89.5331773,0,9,0,0,3.3,64,43,null,null,null,null,2 ,71,14,2,4,0
Telecommunications,Nokia,Sunnyvale,California,USA,37.36883,-122.0363496,4,-5,-5,-5,3.3,67,67,null,null,null,null,3,100,0,4,3,100
Natural Resources,Sempra Energy,San Diego,California,USA,32.715738,-117.1610838,0,18,-5,-5,3.3,67,67,null,null,null,null,,100,0,1,3,0
Financial Services,Fortress Investment Group,New York,New York,USA,40.7127753,-74.0059728,12,-5,-5,-5,3.3,33,67,TRUE,null,null,FALSE,12,,,1,3,
Technology,Yelp,San Francisco,California,USA,37.7749295,-122.4194155,6,6,-5,-5,3.3,83,67,null,null,null,null,,33,67,4,4,67
